Date,Argentina,Chile,Colombia,España,Perú,Portugal,UK,Ano,Mes
2021-01-01,0.011493288911879063,0.0013618412194773555,0.0002803271927405149,1.213900089263916,0.2745743989944458,1.213900089263916,1.370600938796997,2021,1
2021-02-01,0.011129621416330338,0.001397624029777944,0.00027710810536518693,1.2073606252670288,0.27941304445266724,1.2073606252670288,1.3930001258850098,2021,2
2021-03-01,0.010876244865357876,0.001372118596918881,0.00026822235668078065,1.1723604202270508,0.2656889259815216,1.1723604202270508,1.3746649026870728,2021,3
2021-04-01,0.010697521269321442,0.001410636119544506,0.00026929788873530924,1.2127091884613037,0.26385223865509033,1.2127091884613037,1.3952839374542236,2021,4
2021-05-01,0.01057398784905672,0.0013812155229970813,0.0002698145108297467,1.2190067768096924,0.26253610849380493,1.2190067768096924,1.4180374145507812,2021,5
2021-06-01,0.010459540411829948,0.001375137479044497,0.0002655513526406139,1.1901928186416626,0.257400244474411,1.1901928186416626,1.3842746019363403,2021,6
2021-07-01,0.010339250788092613,0.0013161704409867525,0.0002600205480121076,1.1867802143096924,0.25908395648002625,1.1867802143096924,1.3904008865356445,2021,7
2021-08-01,0.010244118049740791,0.0012784127611666918,0.00026212321245111525,1.1796904802322388,0.24928151071071625,1.1796904802322388,1.376045823097229,2021,8
2021-09-01,0.010140188038349152,0.0012353304773569107,0.00026080719544552267,1.1601601839065552,0.24242424964904785,1.1601601839065552,1.3426424264907837,2021,9
2021-10-01,0.010030844248831272,0.001241634483449161,0.0002647078363224864,1.156136155128479,0.2515723407268524,1.156136155128479,1.3690004348754883,2021,10
2021-11-01,0.0099132489413023,0.0011855365009978414,0.00024793899501673877,1.1293437480926514,0.24636609852313995,1.1293437480926514,1.3315047025680542,2021,11
2021-12-01,0.009738776832818985,0.0011743981158360839,0.0002458059461787343,1.132502794265747,0.25081515312194824,1.132502794265747,1.349837303161621,2021,12
2022-01-01,0.009567365981638432,0.0012583552161231637,0.00025559120695106685,1.1152374744415283,0.26567065715789795,1.1152374744415283,1.3403388261795044,2022,1
2022-02-01,0.00931569468230009,0.0012634817976504564,0.00025948783149942756,1.118105411529541,0.27052074670791626,1.118105411529541,1.337327480316162,2022,2
2022-03-01,0.009018279612064362,0.0012680217623710632,0.00026671006344258785,1.1161835193634033,0.2697235345840454,1.1161835193634033,1.3138878345489502,2022,3
2022-04-01,0.008673655800521374,0.0011661670869216323,0.000251790857873857,1.0546298027038574,0.26143789291381836,1.0546298027038574,1.25749933719635,2022,4
2022-05-01,0.00833342969417572,0.0012048338539898396,0.00025444256607443094,1.0773539543151855,0.27798765897750854,1.0773539543151855,1.2647020816802979,2022,5
2022-06-01,0.007997780106961727,0.0010795638663694263,0.00024345589918084443,1.04465913772583,0.2693827748298645,1.04465913772583,1.2131799459457397,2022,6
2022-07-01,0.0076218717731535435,0.0011007760185748339,0.00022864562924951315,1.022704005241394,0.2551020383834839,1.022704005241394,1.2180001735687256,2022,7
2022-08-01,0.007215338293462992,0.0011236586142331362,0.0002266586961923167,1.0025062561035156,0.26232948899269104,1.0025062561035156,1.1659767627716064,2022,8
2022-09-01,0.006800135597586632,0.0010381521424278617,0.00022089926642365754,0.9829555749893188,0.251889169216156,0.9829555749893188,1.1169440746307373,2022,9
2022-10-01,0.006403307430446148,0.001060557784512639,0.0002068996982416138,0.9955002665519714,0.2507837116718292,0.9955002665519714,1.159595012664795,2022,10
2022-11-01,0.005989584140479565,0.0011110494378954172,0.000207928751478903,1.0324499607086182,0.2604166865348816,1.0324499607086182,1.1946860551834106,2022,11
2022-12-01,0.0056698983535170555,0.001179245300590992,0.00020631658844649792,1.0728462934494019,0.26420077681541443,1.0728462934494019,1.2098994255065918,2022,12
